"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Url"
"27",2021,"Bologna","Serie A","team",37,38,542,313,273,186,83,209,538,38.8,329,452,147,305,424,966,740,21,"https://fbref.com/en/squads/1d8099f8/2020-2021/Bologna-Stats"
"28",2021,"Bologna","Serie A","opponent",37,38,588,348,281,241,66,283,628,45.1,345,424,128,296,432,1020,637,15,"https://fbref.com/en/squads/1d8099f8/2020-2021/Bologna-Stats"
"29",2021,"Bordeaux","Ligue 1","team",28,38,567,329,294,212,61,253,623,40.6,370,383,123,260,503,1070,677,9,"https://fbref.com/en/squads/123f3efe/2020-2021/Bordeaux-Stats"
"30",2021,"Bordeaux","Ligue 1","opponent",28,38,683,418,334,281,68,287,678,42.3,391,366,100,266,409,1092,590,12,"https://fbref.com/en/squads/123f3efe/2020-2021/Bordeaux-Stats"
"31",2021,"Brest","Ligue 1","team",26,38,610,355,321,236,53,284,633,44.9,349,358,109,249,463,1073,685,12,"https://fbref.com/en/squads/fb08dbb3/2020-2021/Brest-Stats"
"32",2021,"Brest","Ligue 1","opponent",26,38,515,322,244,191,80,230,613,37.5,383,343,101,242,413,928,672,14,"https://fbref.com/en/squads/fb08dbb3/2020-2021/Brest-Stats"
"33",2021,"Brighton","Premier League","team",27,38,628,334,297,251,80,252,603,41.8,351,417,97,320,425,1053,604,8,"https://fbref.com/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats"
"34",2021,"Brighton","Premier League","opponent",27,38,528,316,269,207,52,222,572,38.8,350,417,154,263,456,984,717,15,"https://fbref.com/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats"
"35",2021,"Burnley","Premier League","team",25,38,507,293,241,203,63,229,564,40.6,335,440,180,260,416,923,824,11,"https://fbref.com/en/squads/943e8050/2020-2021/Burnley-Stats"
"36",2021,"Burnley","Premier League","opponent",25,38,447,261,212,193,42,163,397,41.1,234,300,87,213,308,755,811,12,"https://fbref.com/en/squads/943e8050/2020-2021/Burnley-Stats"
"37",2021,"Cagliari","Serie A","team",32,38,589,336,296,229,64,269,647,41.6,378,421,130,291,388,977,777,6,"https://fbref.com/en/squads/c4260e09/2020-2021/Cagliari-Stats"
"38",2021,"Cagliari","Serie A","opponent",32,38,550,312,248,229,73,269,605,44.5,336,410,116,294,414,964,706,9,"https://fbref.com/en/squads/c4260e09/2020-2021/Cagliari-Stats"
"39",2021,"Celta Vigo","La Liga","team",30,38,662,368,332,259,71,238,694,34.3,456,399,89,310,405,1067,751,12,"https://fbref.com/en/squads/f25da7fb/2020-2021/Celta-Vigo-Stats"
