"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Url"
"28",2021,"Bologna","Serie A","opponent",37,38,18055,16065,1919,572,27,105,713,753,220,84,105,0,13987,71,364,"https://fbref.com/en/squads/1d8099f8/2020-2021/Bologna-Stats"
"29",2021,"Bordeaux","Ligue 1","team",28,38,19490,17533,1908,534,16,146,609,814,174,81,58,0,15862,49,318,"https://fbref.com/en/squads/123f3efe/2020-2021/Bordeaux-Stats"
"30",2021,"Bordeaux","Ligue 1","opponent",28,38,19657,17866,1730,468,17,176,706,731,204,96,82,3,15866,61,303,"https://fbref.com/en/squads/123f3efe/2020-2021/Bordeaux-Stats"
"31",2021,"Brest","Ligue 1","team",26,38,19407,17412,1936,489,19,147,720,859,181,98,40,0,15437,59,298,"https://fbref.com/en/squads/fb08dbb3/2020-2021/Brest-Stats"
"32",2021,"Brest","Ligue 1","opponent",26,38,20261,18303,1914,517,24,140,752,780,192,89,80,3,16431,44,285,"https://fbref.com/en/squads/fb08dbb3/2020-2021/Brest-Stats"
"33",2021,"Brighton","Premier League","team",27,38,19871,18111,1708,404,17,164,686,769,219,71,107,2,15772,52,313,"https://fbref.com/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats"
"34",2021,"Brighton","Premier League","opponent",27,38,19240,17411,1775,459,16,102,625,752,165,74,40,2,15268,54,367,"https://fbref.com/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats"
"35",2021,"Burnley","Premier League","team",25,38,15562,13737,1745,461,10,110,772,721,172,154,5,1,10825,80,263,"https://fbref.com/en/squads/943e8050/2020-2021/Burnley-Stats"
"36",2021,"Burnley","Premier League","opponent",25,38,21670,19780,1811,443,24,162,801,796,237,76,74,7,16991,79,323,"https://fbref.com/en/squads/943e8050/2020-2021/Burnley-Stats"
"37",2021,"Cagliari","Serie A","team",32,38,16868,14915,1896,563,8,96,721,755,170,51,92,0,13040,57,345,"https://fbref.com/en/squads/c4260e09/2020-2021/Cagliari-Stats"
"38",2021,"Cagliari","Serie A","opponent",32,38,20838,18879,1876,546,31,210,778,744,219,68,105,0,17136,83,344,"https://fbref.com/en/squads/c4260e09/2020-2021/Cagliari-Stats"
"39",2021,"Celta Vigo","La Liga","team",30,38,19318,17402,1851,553,33,145,521,764,125,42,62,2,15176,65,298,"https://fbref.com/en/squads/f25da7fb/2020-2021/Celta-Vigo-Stats"
"40",2021,"Celta Vigo","La Liga","opponent",30,38,16949,14836,2062,658,21,196,741,924,166,66,55,0,12833,51,365,"https://fbref.com/en/squads/f25da7fb/2020-2021/Celta-Vigo-Stats"
