"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Url"
"185",2021,"Villarreal","La Liga","team",29,38,17508,21129,82.9,305401,104843,8074,8963,90.1,7097,8015,88.5,1788,2857,62.6,33,40.5,40.7,-7.5,317,1175,358,81,1628,"https://fbref.com/en/squads/2a8183b3/2020-2021/Villarreal-Stats"
"186",2021,"Villarreal","La Liga","opponent",29,38,13685,17408,78.6,241512,86192,6311,7095,88.9,5245,6202,84.6,1561,2877,54.3,25,26.2,27.2,-1.2,290,956,273,106,1227,"https://fbref.com/en/squads/2a8183b3/2020-2021/Villarreal-Stats"
"187",2021,"Werder Bremen","Bundesliga","team",27,34,11648,15559,74.9,211793,84074,5201,6190,84,4826,5900,81.8,1349,2551,52.9,25,21.5,24.3,3.5,252,822,190,81,1065,"https://fbref.com/en/squads/62add3bf/2020-2021/Werder-Bremen-Stats"
"188",2021,"Werder Bremen","Bundesliga","opponent",27,34,15964,19910,80.2,286794,99296,6845,7858,87.1,6859,7934,86.5,1786,2945,60.6,41,38.9,40.9,2.1,351,1296,301,96,1529,"https://fbref.com/en/squads/62add3bf/2020-2021/Werder-Bremen-Stats"
"189",2021,"West Brom","Premier League","team",30,38,9769,13978,69.9,177501,75746,4418,5278,83.7,3696,4783,77.3,1273,2924,43.5,20,24.4,21.3,-4.4,241,822,196,60,1027,"https://fbref.com/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats"
"190",2021,"West Brom","Premier League","opponent",30,38,18892,23277,81.2,316702,107899,9018,10152,88.8,7663,8828,86.8,1599,2948,54.2,52,44.1,42,7.9,452,1470,395,84,1802,"https://fbref.com/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats"
"191",2021,"West Ham","Premier League","team",24,38,12725,16901,75.3,225666,88791,5888,6864,85.8,4948,6052,81.8,1470,2860,51.4,46,39.6,31.9,6.4,340,1037,238,95,1282,"https://fbref.com/en/squads/7c21e445/2020-2021/West-Ham-United-Stats"
"192",2021,"West Ham","Premier League","opponent",24,38,18302,22463,81.5,304474,101522,8776,9741,90.1,7354,8481,86.7,1485,2815,52.8,34,36.6,32.8,-2.6,359,1427,353,83,1698,"https://fbref.com/en/squads/7c21e445/2020-2021/West-Ham-United-Stats"
"193",2021,"Wolfsburg","Bundesliga","team",26,34,13133,17236,76.2,251433,91864,4953,5972,82.9,6223,7378,84.3,1661,2905,57.2,48,37.7,38.8,10.3,353,1004,282,70,1397,"https://fbref.com/en/squads/4eaa11d7/2020-2021/Wolfsburg-Stats"
"194",2021,"Wolfsburg","Bundesliga","opponent",26,34,12302,16502,74.5,226381,91149,5196,6222,83.5,5231,6382,82,1500,2759,54.4,27,29,29.7,-2,259,931,238,76,1197,"https://fbref.com/en/squads/4eaa11d7/2020-2021/Wolfsburg-Stats"
"195",2021,"Wolves","Premier League","team",27,38,15548,19225,80.9,275061,93014,6990,7796,89.7,6320,7342,86.1,1742,2944,59.2,21,24.1,23.9,-3.1,345,1117,213,85,1283,"https://fbref.com/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats"
"196",2021,"Wolves","Premier League","opponent",27,38,16265,19966,81.5,278356,95675,7713,8610,89.6,6476,7483,86.5,1534,2713,56.5,34,31.1,30.4,2.9,326,1166,324,71,1574,"https://fbref.com/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats"
"197",2022,"Alavés","La Liga","team",33,38,9676,14175,68.3,191044,85739,4158,5174,80.4,3774,4954,76.2,1524,3158,48.3,20,25.5,22.8,-5.5,260,835,199,84,984,"https://fbref.com/en/squads/8d6fd021/2021-2022/Alaves-Stats"
