"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Url"
"17",2021,"Augsburg","Bundesliga","team",25,27,41.4,34,374,3060,34,35,23,58,33,2,5,71,4,37.3,33.4,25.9,59.3,431,987,1.03,0.68,1.71,0.97,1.65,1.1,0.76,1.86,0.98,1.74,"https://fbref.com/en/squads/0cdc4311/2020-2021/Augsburg-Stats"
"18",2021,"Augsburg","Bundesliga","opponent",25,26,58.7,34,374,3060,34,51,37,88,45,6,9,54,1,57.3,50.3,38.9,89.3,698,1675,1.5,1.09,2.59,1.32,2.41,1.68,1.15,2.83,1.48,2.63,"https://fbref.com/en/squads/0cdc4311/2020-2021/Augsburg-Stats"
"19",2021,"Barcelona","La Liga","team",25,26.4,65.5,38,418,3420,38,80,51,131,76,4,8,72,2,73.5,67.1,53.2,120.2,972,2157,2.11,1.34,3.45,2,3.34,1.94,1.4,3.33,1.77,3.16,"https://fbref.com/en/squads/206d90db/2020-2021/Barcelona-Stats"
"20",2021,"Barcelona","La Liga","opponent",25,27.4,45,38,418,3420,38,36,20,56,31,5,5,76,6,40.8,36.9,25.4,62.3,529,1038,0.95,0.53,1.47,0.82,1.34,1.07,0.67,1.74,0.97,1.64,"https://fbref.com/en/squads/206d90db/2020-2021/Barcelona-Stats"
"21",2021,"Bayern Munich","Bundesliga","team",29,27.3,60.7,34,374,3060,34,98,75,173,89,9,10,44,3,75.9,68.1,55.2,123.3,829,2084,2.88,2.21,5.09,2.62,4.82,2.23,1.62,3.86,2,3.63,"https://fbref.com/en/squads/054efa67/2020-2021/Bayern-Munich-Stats"
"22",2021,"Bayern Munich","Bundesliga","opponent",29,25.9,38.9,34,374,3060,34,44,41,85,43,1,3,50,0,40.2,37.8,32.5,70.3,476,1028,1.29,1.21,2.5,1.26,2.47,1.18,0.95,2.14,1.11,2.07,"https://fbref.com/en/squads/054efa67/2020-2021/Bayern-Munich-Stats"
"23",2021,"Benevento","Serie A","team",29,28.7,42.6,38,418,3420,38,40,26,66,35,5,7,95,5,40.6,35,27.6,62.6,512,1096,1.05,0.68,1.74,0.92,1.61,1.07,0.73,1.79,0.92,1.65,"https://fbref.com/en/squads/4fcb34fd/2020-2021/Benevento-Stats"
"24",2021,"Benevento","Serie A","opponent",29,27.2,57.7,38,418,3420,38,69,52,121,65,4,5,76,6,64.3,60.5,46.2,106.7,862,1804,1.82,1.37,3.18,1.71,3.08,1.69,1.22,2.91,1.59,2.81,"https://fbref.com/en/squads/4fcb34fd/2020-2021/Benevento-Stats"
"25",2021,"Betis","La Liga","team",25,27.9,53.6,38,418,3420,38,50,35,85,42,8,11,93,8,49.1,40.6,33.4,74,694,1442,1.32,0.92,2.24,1.11,2.03,1.29,0.88,2.17,1.07,1.95,"https://fbref.com/en/squads/fc536746/2020-2021/Real-Betis-Stats"
"26",2021,"Betis","La Liga","opponent",25,27.4,46.1,38,418,3420,38,47,31,78,39,8,10,83,2,46.8,39.2,30.1,69.3,551,1311,1.24,0.82,2.05,1.03,1.84,1.23,0.79,2.02,1.03,1.82,"https://fbref.com/en/squads/fc536746/2020-2021/Real-Betis-Stats"
