"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
"175",2021,"Southampton","Premier League","Alex McCarthy","ENG","GK","30",1989,30,30,2700,30,57,1.9,147,91,65.3,8,7,15,7,23.3,6,6,0,0,0,"https://fbref.com/en/players/36c2ca73/Alex-McCarthy"
"176",2021,"Spezia","Serie A","Ivan Provedel","ITA","GK","26",1994,29,29,2610,29,55,1.9,131,75,62.6,6,10,13,4,13.8,7,6,1,0,14.3,"https://fbref.com/en/players/277da414/Ivan-Provedel"
"177",2021,"Spezia","Serie A","Rafael","BRA","GK","38",1982,3,2,207,2.3,5,2.17,18,13,72.2,0,1,1,1,50,0,0,0,0,NA,"https://fbref.com/en/players/dd06d56c/Rafael"
"178",2021,"Spezia","Serie A","Jeroen Zoet","NED","GK","29",1991,7,7,603,6.7,12,1.79,29,17,69,3,1,3,0,0,3,3,0,0,0,"https://fbref.com/en/players/cc1a0c57/Jeroen-Zoet"
"179",2021,"Strasbourg","Ligue 1","Bingourou Kamara","SEN","GK","23",1996,8,8,720,8,14,1.75,32,19,59.4,2,0,6,2,25,1,1,0,0,0,"https://fbref.com/en/players/3814120d/Bingourou-Kamara"
"180",2021,"Strasbourg","Ligue 1","Eiji Kawashima","JPN","GK","37",1983,24,24,2160,24,31,1.29,91,59,69.2,8,7,9,8,33.3,5,3,1,1,25,"https://fbref.com/en/players/a4527d33/Eiji-Kawashima"
"181",2021,"Strasbourg","Ligue 1","Matz Sels","BEL","GK","28",1992,6,6,540,6,13,2.17,26,13,57.7,1,2,3,0,0,2,2,0,0,0,"https://fbref.com/en/players/834b5c4c/Matz-Sels"
"182",2021,"Stuttgart","Bundesliga","Fabian Bredlow","GER","GK","25",1995,1,1,90,1,1,1,9,8,88.9,1,0,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/d28339cb/Fabian-Bredlow"
"183",2021,"Stuttgart","Bundesliga","Gregor Kobel","SUI","GK","22",1997,33,33,2970,33,54,1.64,157,102,68.8,11,9,13,5,15.2,7,5,2,0,28.6,"https://fbref.com/en/players/cd59b9df/Gregor-Kobel"
"184",2021,"Torino","Serie A","Vanja Milinković-Savić","SRB","GK","23",1997,5,5,450,5,6,1.2,20,14,75,2,2,1,1,20,1,1,0,0,0,"https://fbref.com/en/players/9fa26bc2/Vanja-Milinkovic-Savic"
"185",2021,"Torino","Serie A","Salvatore Sirigu","ITA","GK","33",1987,32,32,2880,32,62,1.94,134,72,59.7,5,13,14,7,21.9,9,8,0,1,0,"https://fbref.com/en/players/10dc46f0/Salvatore-Sirigu"
"186",2021,"Torino","Serie A","Samir Ujkani","KVX","GK","32",1988,1,1,90,1,1,1,3,2,66.7,0,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/96640846/Samir-Ujkani"
"187",2021,"Tottenham","Premier League","Hugo Lloris","FRA","GK","33",1986,38,38,3420,38,45,1.18,155,113,77.4,18,8,12,12,31.6,10,10,0,0,0,"https://fbref.com/en/players/8f62b6ee/Hugo-Lloris"
"188",2021,"Udinese","Serie A","Nícolas Andrade","BRA","GK","32",1988,2,2,180,2,5,2.5,6,1,16.7,1,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/326d09ef/Nicolas-Andrade"
"189",2021,"Udinese","Serie A","Manuel Gasparini","ITA","GK","18",2002,1,0,3,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/7033ca08/Manuel-Gasparini"
"190",2021,"Udinese","Serie A","Juan Musso","ARG","GK","26",1994,35,35,3147,35,51,1.46,149,98,74.5,9,10,16,8,22.9,13,13,0,0,0,"https://fbref.com/en/players/a111cf41/Juan-Musso"
"191",2021,"Udinese","Serie A","Simone Scuffet","ITA","GK","24",1996,1,1,90,1,2,2,4,2,75,0,0,1,0,0,1,1,0,0,0,"https://fbref.com/en/players/41bd99ea/Simone-Scuffet"
"192",2021,"Union Berlin","Bundesliga","Loris Karius","GER","GK","27",1993,4,3,292,3.2,1,0.31,4,4,75,1,2,0,2,66.7,0,0,0,0,NA,"https://fbref.com/en/players/32e7ce92/Loris-Karius"
"193",2021,"Union Berlin","Bundesliga","Andreas Luthe","GER","GK","33",1987,31,31,2768,30.8,42,1.37,132,89,71.2,11,12,8,5,16.1,5,4,1,0,20,"https://fbref.com/en/players/7fe12375/Andreas-Luthe"
"194",2021,"Valencia","La Liga","Jasper Cillessen","NED","GK","31",1989,10,10,900,10,11,1.1,45,33,77.8,5,1,4,3,30,2,1,1,0,50,"https://fbref.com/en/players/04ac8285/Jasper-Cillessen"
