"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
"251",2022,"Cagliari","Serie A","Alessio Cragno","ITA","GK","27",1994,35,35,3150,35,63,1.8,168,104,66.1,6,10,19,2,5.7,8,6,2,0,25,"https://fbref.com/en/players/f554e29b/Alessio-Cragno"
"252",2022,"Cagliari","Serie A","Boris Radunović","SRB","GK","25",1996,3,3,270,3,5,1.67,17,11,76.5,0,2,1,1,33.3,2,1,1,0,50,"https://fbref.com/en/players/0dfce079/Boris-Radunovic"
"253",2022,"Celta Vigo","La Liga","Matías Dituro","ARG","GK","34",1987,38,38,3420,38,43,1.13,136,91,71.3,12,10,16,14,36.8,8,4,4,0,50,"https://fbref.com/en/players/b6160ad0/Matias-Dituro"
"254",2022,"Chelsea","Premier League","Kepa Arrizabalaga","ESP","GK","26",1994,4,4,360,4,2,0.5,13,11,84.6,2,1,1,2,50,0,0,0,0,NA,"https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga"
"255",2022,"Chelsea","Premier League","Edouard Mendy","SEN","GK","29",1992,34,34,3060,34,31,0.91,102,72,75.5,19,10,5,14,41.2,6,6,0,0,0,"https://fbref.com/en/players/33887998/Edouard-Mendy"
"256",2022,"Clermont Foot","Ligue 1","Arthur Desmas","FRA","GK","27",1994,15,15,1304,14.5,33,2.28,66,34,54.5,3,5,7,3,20,3,3,0,0,0,"https://fbref.com/en/players/e8c5dd4d/Arthur-Desmas"
"257",2022,"Clermont Foot","Ligue 1","Ouparine Djoco","GNB","GK","23",1998,24,23,2116,23.5,36,1.53,99,65,65.7,6,4,13,5,21.7,2,2,0,0,0,"https://fbref.com/en/players/62124972/Ouparine-Djoco"
"258",2022,"Crystal Palace","Premier League","Jack Butland","ENG","GK","28",1993,9,8,765,8.5,13,1.53,28,16,53.6,2,4,2,1,12.5,1,0,1,0,100,"https://fbref.com/en/players/cc70a1d5/Jack-Butland"
"259",2022,"Crystal Palace","Premier League","Vicente Guaita","ESP","GK","34",1987,30,30,2655,29.5,33,1.12,116,83,74.1,9,11,10,11,36.7,3,3,0,0,0,"https://fbref.com/en/players/ab13a5aa/Vicente-Guaita"
"260",2022,"Cádiz","La Liga","Jeremías Ledesma","ARG","GK","28",1993,38,38,3420,38,51,1.34,170,117,76.5,8,15,15,13,34.2,13,11,2,0,15.4,"https://fbref.com/en/players/6c4776b1/Jeremias-Ledesma"
"261",2022,"Dortmund","Bundesliga","Roman Bürki","SUI","GK","30",1990,1,1,90,1,1,1,1,0,100,1,0,0,0,0,1,1,0,0,0,"https://fbref.com/en/players/9d12e142/Roman-Burki"
"262",2022,"Dortmund","Bundesliga","Marwin Hitz","SUI","GK","33",1987,5,4,405,4.5,12,2.67,25,13,60,1,0,3,0,0,2,2,0,0,0,"https://fbref.com/en/players/2e7ff968/Marwin-Hitz"
"263",2022,"Dortmund","Bundesliga","Gregor Kobel","SUI","GK","23",1997,29,29,2565,28.5,39,1.37,110,73,67.3,20,3,6,7,24.1,3,3,0,0,0,"https://fbref.com/en/players/cd59b9df/Gregor-Kobel"
"264",2022,"Eint Frankfurt","Bundesliga","Jens Grahl","GER","GK","32",1988,1,1,90,1,2,2,4,2,50,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/f26dee6b/Jens-Grahl"
"265",2022,"Eint Frankfurt","Bundesliga","Diant Ramaj","GER","GK","19",2001,1,1,90,1,1,1,4,3,75,0,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/b90c4a43/Diant-Ramaj"
"266",2022,"Eint Frankfurt","Bundesliga","Kevin Trapp","GER","GK","31",1990,32,32,2880,32,46,1.44,157,112,73.2,10,11,11,5,15.6,4,4,0,0,0,"https://fbref.com/en/players/ce17b5eb/Kevin-Trapp"
"267",2022,"Elche","La Liga","Édgar Badía","ESP","GK","29",1992,24,24,2160,24,35,1.46,114,78,75.4,8,5,11,5,20.8,9,7,1,1,12.5,"https://fbref.com/en/players/e4346678/Edgar-Badia"
"268",2022,"Elche","La Liga","Kiko Casilla","ESP","GK","34",1986,14,14,1260,14,17,1.21,60,43,71.7,3,4,7,3,21.4,0,0,0,0,NA,"https://fbref.com/en/players/58bc7d18/Kiko-Casilla"
"269",2022,"Empoli","Serie A","Guglielmo Vicario","ITA","GK","24",1996,38,38,3420,38,70,1.84,216,150,69.9,10,11,17,7,18.4,10,5,2,3,28.6,"https://fbref.com/en/players/77d6fd4d/Guglielmo-Vicario"
"270",2022,"Espanyol","La Liga","Joan García","ESP","GK","20",2001,2,1,108,1.2,3,2.5,3,0,0,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/87b498b0/Joan-Garcia"
"271",2022,"Espanyol","La Liga","Diego López","ESP","GK","39",1981,36,36,3177,35.3,49,1.39,157,110,70.7,10,12,14,9,25,4,3,0,1,0,"https://fbref.com/en/players/73683fa9/Diego-Lopez"
"272",2022,"Espanyol","La Liga","Oier Olazábal","ESP","GK","31",1989,2,1,135,1.5,1,0.67,9,8,100,0,0,1,1,100,1,1,0,0,0,"https://fbref.com/en/players/b5bdf144/Oier-Olazabal"
"273",2022,"Everton","Premier League","Asmir Begović","BIH","GK","34",1987,3,3,270,3,8,2.67,18,11,61.1,1,0,2,1,33.3,1,1,0,0,0,"https://fbref.com/en/players/7b4de647/Asmir-Begovic"
"274",2022,"Everton","Premier League","Jordan Pickford","ENG","GK","27",1994,35,35,3150,35,58,1.66,170,116,66.5,10,6,19,7,20,1,1,0,0,0,"https://fbref.com/en/players/4806ec67/Jordan-Pickford"
"275",2022,"Fiorentina","Serie A","Bartłomiej Drągowski","POL","GK","23",1997,7,7,556,6.2,8,1.29,26,17,73.1,3,0,4,2,28.6,2,1,1,0,50,"https://fbref.com/en/players/085e71a7/Bartlomiej-Dragowski"
"276",2022,"Fiorentina","Serie A","Pietro Terracciano","ITA","GK","31",1990,32,31,2862,31.8,43,1.35,100,58,59,16,5,10,9,29,3,2,1,0,33.3,"https://fbref.com/en/players/e1b0a70d/Pietro-Terracciano"
"277",2022,"Freiburg","Bundesliga","Mark Flekken","NED","GK","28",1993,32,32,2880,32,39,1.22,141,103,73.8,15,9,8,10,31.3,2,2,0,0,0,"https://fbref.com/en/players/a92ab7be/Mark-Flekken"
"278",2022,"Freiburg","Bundesliga","Benjamin Uphoff","GER","GK","27",1993,2,2,180,2,7,3.5,12,5,41.7,0,1,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/a9a6fc08/Benjamin-Uphoff"
"279",2022,"Genoa","Serie A","Adrian Šemper","CRO","GK","23",1998,1,1,90,1,1,1,4,3,75,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/f02dde20/Adrian-Semper"
"280",2022,"Genoa","Serie A","Salvatore Sirigu","ITA","GK","34",1987,37,37,3330,37,59,1.59,180,122,69.4,4,16,17,10,27,5,4,1,0,20,"https://fbref.com/en/players/10dc46f0/Salvatore-Sirigu"
"281",2022,"Getafe","La Liga","Diego Conde","ESP","GK","22",1998,1,0,6,0.1,0,0,0,0,NA,0,0,0,1,NA,0,0,0,0,NA,"https://fbref.com/en/players/4eae5bc4/Diego-Conde"
"282",2022,"Getafe","La Liga","David Soria","ESP","GK","28",1993,38,38,3414,37.9,41,1.08,132,91,70.5,8,15,15,13,34.2,4,2,1,1,33.3,"https://fbref.com/en/players/8f8c6934/David-Soria"
"283",2022,"Gladbach","Bundesliga","Tobias Sippel","GER","GK","33",1988,1,1,90,1,1,1,3,2,66.7,0,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/0d8a37c2/Tobias-Sippel"
"284",2022,"Gladbach","Bundesliga","Yann Sommer","SUI","GK","32",1988,33,33,2970,33,60,1.82,182,120,68.7,12,8,13,5,15.2,5,3,2,0,40,"https://fbref.com/en/players/420c18a1/Yann-Sommer"
"285",2022,"Granada","La Liga","Aarón Escandell","ESP","GK","25",1995,4,3,284,3.2,6,1.9,16,10,75,0,2,1,1,33.3,2,2,0,0,0,"https://fbref.com/en/players/67669ce7/Aaron-Escandell"
"286",2022,"Granada","La Liga","Luís Maximiano","POR","GK","22",1999,35,35,3136,34.8,55,1.58,177,122,71.8,8,12,15,7,20,7,5,2,0,28.6,"https://fbref.com/en/players/3318286e/Luis-Maximiano"
"287",2022,"Greuther Fürth","Bundesliga","Sascha Burchert","GER","GK","31",1989,14,14,1260,14,28,2,72,46,65.3,2,4,8,3,21.4,3,3,0,0,0,"https://fbref.com/en/players/25bdea4b/Sascha-Burchert"
"288",2022,"Greuther Fürth","Bundesliga","Marius Funk","GER","GK","25",1996,8,8,720,8,30,3.75,54,26,48.1,0,0,8,0,0,2,2,0,0,0,"https://fbref.com/en/players/86314793/Marius-Funk"
"289",2022,"Greuther Fürth","Bundesliga","Andreas Linde","SWE","GK","28",1993,12,12,1080,12,24,2,62,39,62.9,1,5,6,3,25,1,1,0,0,0,"https://fbref.com/en/players/4d6a842d/Andreas-Linde"
"290",2022,"Hellas Verona","Serie A","Alessandro Berardi","ITA","GK","30",1991,1,1,90,1,3,3,7,4,57.1,0,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/ec1f737d/Alessandro-Berardi"
"291",2022,"Hellas Verona","Serie A","Lorenzo Montipò","ITA","GK","25",1996,34,34,3060,34,50,1.47,137,88,65,13,10,11,4,11.8,3,2,1,0,33.3,"https://fbref.com/en/players/c1d95617/Lorenzo-Montipo"
"292",2022,"Hellas Verona","Serie A","Ivor Pandur","CRO","GK","21",2000,3,3,270,3,6,2,15,9,66.7,1,0,2,0,0,1,1,0,0,0,"https://fbref.com/en/players/457cb02f/Ivor-Pandur"
"293",2022,"Hertha BSC","Bundesliga","Marcel Lotka","POL","GK","20",2001,10,9,885,9.8,20,2.03,49,29,65.3,2,1,6,2,22.2,3,3,0,0,0,"https://fbref.com/en/players/5584552e/Marcel-Lotka"
"294",2022,"Hertha BSC","Bundesliga","Alexander Schwolow","GER","GK","29",1992,25,25,2175,24.2,51,2.11,123,72,62.6,7,5,13,4,16,5,5,0,0,0,"https://fbref.com/en/players/0d55d942/Alexander-Schwolow"
"295",2022,"Hoffenheim","Bundesliga","Oliver Baumann","GER","GK","31",1990,33,33,2970,33,57,1.73,155,98,64.5,12,7,14,8,24.2,4,2,1,1,33.3,"https://fbref.com/en/players/47064058/Oliver-Baumann"
"296",2022,"Hoffenheim","Bundesliga","Philipp Pentke","GER","GK","36",1985,1,1,90,1,3,3,7,4,57.1,1,0,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/c41f7379/Philipp-Pentke"
"297",2022,"Inter","Serie A","Samir Handanović","SVN","GK","37",1984,37,37,3330,37,30,0.81,124,95,79,25,9,3,15,40.5,4,4,0,0,0,"https://fbref.com/en/players/74419746/Samir-Handanovic"
"298",2022,"Inter","Serie A","Ionuț Radu","ROU","GK","24",1997,1,1,90,1,2,2,3,1,33.3,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/67f649be/Ionut-Radu"
"299",2022,"Juventus","Serie A","Mattia Perin","ITA","GK","28",1992,5,5,405,4.5,7,1.56,16,10,56.3,2,1,2,1,20,0,0,0,0,NA,"https://fbref.com/en/players/4c62d0c8/Mattia-Perin"
"300",2022,"Juventus","Serie A","Carlo Pinsoglio","ITA","GK","31",1990,1,0,45,0.5,1,2,2,1,100,0,0,0,0,NA,1,1,0,0,0,"https://fbref.com/en/players/f6a06749/Carlo-Pinsoglio"
"301",2022,"Juventus","Serie A","Wojciech Szczęsny","POL","GK","31",1990,33,33,2970,33,29,0.88,105,73,75.2,18,9,6,12,36.4,6,3,3,0,50,"https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny"
"302",2022,"Köln","Bundesliga","Timo Horn","GER","GK","28",1993,13,13,1170,13,21,1.62,56,36,62.5,4,6,3,1,7.7,0,0,0,0,NA,"https://fbref.com/en/players/3cd9e95a/Timo-Horn"
"303",2022,"Köln","Bundesliga","Marvin Schwäbe","GER","GK","26",1995,21,21,1890,21,28,1.33,98,70,71.4,10,4,7,3,14.3,1,0,1,0,100,"https://fbref.com/en/players/87436846/Marvin-Schwabe"
"304",2022,"Lazio","Serie A","Pepe Reina","ESP","GK","38",1982,15,15,1350,15,29,1.93,60,31,58.3,6,4,5,2,13.3,5,4,0,1,0,"https://fbref.com/en/players/e358587b/Pepe-Reina"
"305",2022,"Lazio","Serie A","Thomas Strakosha","ALB","GK","26",1995,23,23,2070,23,29,1.26,86,58,67.4,12,6,5,7,30.4,1,1,0,0,0,"https://fbref.com/en/players/339fe0e8/Thomas-Strakosha"
"306",2022,"Leeds United","Premier League","Kristoffer Klaesson","NOR","GK","20",2000,1,0,36,0.4,0,0,4,4,100,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/3f70db80/Kristoffer-Klaesson"
"307",2022,"Leeds United","Premier League","Illan Meslier","FRA","GK","21",2000,38,38,3384,37.6,79,2.1,220,142,66.4,9,11,18,5,13.2,5,5,0,0,0,"https://fbref.com/en/players/6b625ac2/Illan-Meslier"
"308",2022,"Leicester City","Premier League","Kasper Schmeichel","DEN","GK","34",1986,37,37,3330,37,58,1.57,187,128,72.7,13,10,14,7,18.9,9,7,2,0,22.2,"https://fbref.com/en/players/53af52f3/Kasper-Schmeichel"
"309",2022,"Leicester City","Premier League","Danny Ward","WAL","GK","28",1993,1,1,90,1,1,1,5,4,80,1,0,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/d3ce0e89/Danny-Ward"
"310",2022,"Lens","Ligue 1","Wuilker Faríñez","VEN","GK","23",1998,13,11,1105,12.3,15,1.22,45,30,68.9,7,3,1,3,27.3,1,1,0,0,0,"https://fbref.com/en/players/2c127b6f/Wuilker-Farinez"
"311",2022,"Lens","Ligue 1","Jean-Louis Leca","FRA","GK","35",1985,27,27,2313,25.7,33,1.28,100,66,70,10,8,9,5,18.5,4,3,1,0,25,"https://fbref.com/en/players/edbe46dc/Jean-Louis-Leca"
"312",2022,"Levante","La Liga","Cárdenas","ESP","GK","24",1997,24,24,2160,24,46,1.92,120,74,65,6,6,12,5,20.8,4,4,0,0,0,"https://fbref.com/en/players/e1846dde/Cardenas"
"313",2022,"Levante","La Liga","Aitor Fernández","ESP","GK","30",1991,13,13,1166,13,29,2.24,81,51,65.4,1,5,7,2,15.4,2,1,1,0,50,"https://fbref.com/en/players/a01c3d54/Aitor-Fernandez"
"314",2022,"Levante","La Liga","Alejandro Primo","ESP","GK","17",2004,1,1,90,1,1,1,2,1,50,1,0,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/f38284bb/Alejandro-Primo"
"315",2022,"Levante","La Liga","Rúben Vezo","POR","DF","27",1994,1,1,4,26.9,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/c67cd65c/Ruben-Vezo"
"316",2022,"Leverkusen","Bundesliga","Lennart Grill","GER","GK","22",1999,1,1,90,1,2,2,6,5,66.7,1,0,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/37998008/Lennart-Grill"
"317",2022,"Leverkusen","Bundesliga","Lukáš Hrádecký","FIN","GK","31",1989,32,32,2880,32,44,1.37,154,109,72.7,17,7,8,8,25,4,2,1,1,33.3,"https://fbref.com/en/players/ad3389d5/Lukas-Hradecky"
"318",2022,"Leverkusen","Bundesliga","Andrey Lunyov","RUS","GK","29",1991,1,1,90,1,1,1,2,1,50,1,0,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/8a6ab963/Andrey-Lunyov"
"319",2022,"Lille","Ligue 1","Ivo Grbić","CRO","GK","25",1996,21,21,1890,21,28,1.33,85,58,69.4,8,7,6,2,9.5,2,2,0,0,0,"https://fbref.com/en/players/3f034750/Ivo-Grbic"
"320",2022,"Lille","Ligue 1","Léo Jardim","BRA","GK","26",1995,17,17,1530,17,20,1.18,66,47,75.8,6,6,5,8,47.1,4,4,0,0,0,"https://fbref.com/en/players/f5dfc256/Leo-Jardim"
"321",2022,"Liverpool","Premier League","Alisson","BRA","GK","28",1992,36,36,3240,36,24,0.67,99,76,75.8,27,7,2,20,55.6,0,0,0,0,NA,"https://fbref.com/en/players/7a2e46a8/Alisson"
"322",2022,"Liverpool","Premier League","Caoimhín Kelleher","IRL","GK","22",1998,2,2,180,2,2,1,8,6,75,1,1,0,1,50,0,0,0,0,NA,"https://fbref.com/en/players/62d7ef38/Caoimhin-Kelleher"
"323",2022,"Lorient","Ligue 1","Matthieu Dreyer","FRA","GK","32",1989,16,16,1440,16,25,1.56,57,32,57.9,5,4,7,7,43.8,1,1,0,0,0,"https://fbref.com/en/players/fbf83734/Matthieu-Dreyer"
"324",2022,"Lorient","Ligue 1","Paul Nardi","FRA","GK","27",1994,22,22,1980,22,38,1.73,91,56,62.6,3,8,11,4,18.2,5,4,0,1,0,"https://fbref.com/en/players/2d70dbe5/Paul-Nardi"
"325",2022,"Lyon","Ligue 1","Anthony Lopes","POR","GK","30",1990,34,34,2982,33.1,45,1.36,148,105,71.6,14,11,9,8,23.5,4,3,1,0,25,"https://fbref.com/en/players/f00de885/Anthony-Lopes"
"326",2022,"Lyon","Ligue 1","Julian Pollersbeck","GER","GK","26",1994,6,4,436,4.8,6,1.24,25,19,92,3,0,1,1,25,4,4,0,0,0,"https://fbref.com/en/players/d6f6ce93/Julian-Pollersbeck"
"327",2022,"Mainz 05","Bundesliga","Finn Dahmen","GER","GK","23",1998,2,2,180,2,3,1.5,5,2,60,1,1,0,0,0,1,1,0,0,0,"https://fbref.com/en/players/dee3013b/Finn-Dahmen"
"328",2022,"Mainz 05","Bundesliga","Robin Zentner","GER","GK","26",1994,32,32,2880,32,42,1.31,120,78,68.3,12,6,14,10,31.3,5,4,1,0,20,"https://fbref.com/en/players/5c4bf6ba/Robin-Zentner"
"329",2022,"Mallorca","La Liga","Dominik Greif","SVK","GK","24",1997,1,1,90,1,3,3,6,3,50,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/30061f53/Dominik-Greif"
"330",2022,"Mallorca","La Liga","Manolo Reina","ESP","GK","36",1985,21,21,1890,21,26,1.24,75,49,68,6,9,6,8,38.1,3,2,1,0,33.3,"https://fbref.com/en/players/605eb473/Manolo-Reina"
"331",2022,"Mallorca","La Liga","Sergio Rico","ESP","GK","27",1993,14,14,1260,14,29,2.07,57,29,54.4,4,0,10,1,7.1,4,3,1,0,25,"https://fbref.com/en/players/5f0241b2/Sergio-Rico"
"332",2022,"Mallorca","La Liga","Leo Román","ESP","GK","21",2000,2,2,180,2,5,2.5,14,10,71.4,0,0,2,0,0,1,1,0,0,0,"https://fbref.com/en/players/924ff27e/Leo-Roman"
"333",2022,"Manchester City","Premier League","Ederson","BRA","GK","27",1993,37,37,3330,37,26,0.7,83,57,69.9,28,6,3,20,54.1,1,1,0,0,0,"https://fbref.com/en/players/3bb7b8b4/Ederson"
"334",2022,"Manchester City","Premier League","Zack Steffen","USA","GK","26",1995,1,1,90,1,0,0,2,2,100,1,0,0,1,100,0,0,0,0,NA,"https://fbref.com/en/players/42130443/Zack-Steffen"
"335",2022,"Manchester Utd","Premier League","David de Gea","ESP","GK","30",1990,38,38,3420,38,57,1.5,180,124,70,16,10,12,8,21.1,5,3,2,0,40,"https://fbref.com/en/players/7ba6d84e/David-de-Gea"
"336",2022,"Marseille","Ligue 1","Pau López","ESP","GK","26",1994,29,29,2610,29,31,1.07,86,55,68.6,15,6,8,10,34.5,4,4,0,0,0,"https://fbref.com/en/players/20b9f052/Pau-Lopez"
"337",2022,"Marseille","Ligue 1","Steve Mandanda","FRA","GK","36",1985,9,9,810,9,7,0.78,26,20,73.1,6,2,1,5,55.6,0,0,0,0,NA,"https://fbref.com/en/players/1d2d5cc8/Steve-Mandanda"
"338",2022,"Metz","Ligue 1","Marc-Aurèle Caillard","FRA","GK","27",1994,19,17,1542,17.1,30,1.75,87,57,67.8,4,5,8,5,29.4,2,2,0,0,0,"https://fbref.com/en/players/5ee6e943/Marc-Aurele-Caillard"
"339",2022,"Metz","Ligue 1","Alexandre Oukidja","ALG","GK","33",1988,21,21,1875,20.8,39,1.87,91,54,60.4,2,8,11,3,14.3,3,3,0,0,0,"https://fbref.com/en/players/ae7d0ecd/Alexandre-Oukidja"
"340",2022,"Milan","Serie A","Mike Maignan","FRA","GK","26",1995,32,32,2880,32,21,0.66,101,81,81.2,22,7,3,17,53.1,2,2,0,0,0,"https://fbref.com/en/players/fcb38f57/Mike-Maignan"
"341",2022,"Milan","Serie A","Ciprian Tătărușanu","ROU","GK","35",1986,6,6,540,6,10,1.67,24,14,66.7,4,1,1,1,16.7,3,2,1,0,33.3,"https://fbref.com/en/players/b056e3da/Ciprian-Tatarusanu"
"342",2022,"Monaco","Ligue 1","Alexander Nübel","GER","GK","24",1996,38,38,3420,38,40,1.05,141,104,77.3,20,9,9,11,28.9,9,8,0,1,0,"https://fbref.com/en/players/afb0c500/Alexander-Nubel"
"343",2022,"Montpellier","Ligue 1","Dimitry Bertaud","COD","GK","23",1998,11,9,833,9.3,20,2.16,57,37,68.4,2,3,4,2,22.2,2,2,0,0,0,"https://fbref.com/en/players/380a15e2/Dimitry-Bertaud"
"344",2022,"Montpellier","Ligue 1","Jonas Omlin","SUI","GK","27",1994,29,29,2587,28.7,41,1.43,158,117,75.9,10,4,15,8,27.6,4,3,1,0,25,"https://fbref.com/en/players/c631f952/Jonas-Omlin"
"345",2022,"Nantes","Ligue 1","Alban Lafont","FRA","GK","22",1999,38,38,3420,38,48,1.26,155,105,71.6,15,10,13,8,21.1,7,4,3,0,42.9,"https://fbref.com/en/players/4e7db402/Alban-Lafont"
"346",2022,"Napoli","Serie A","Davide Marfella","ITA","GK","21",1999,1,0,11,0.1,0,0,1,1,100,0,0,0,1,NA,0,0,0,0,NA,"https://fbref.com/en/players/880fcdbb/Davide-Marfella"
"347",2022,"Napoli","Serie A","Alex Meret","ITA","GK","24",1997,7,7,619,6.9,6,0.87,29,23,79.3,5,1,1,2,28.6,0,0,0,0,NA,"https://fbref.com/en/players/9413b19f/Alex-Meret"
"348",2022,"Napoli","Serie A","David Ospina","COL","GK","32",1988,31,31,2790,31,25,0.81,106,82,77.4,19,6,6,13,41.9,1,1,0,0,0,"https://fbref.com/en/players/82b1198a/David-Ospina"
"349",2022,"Newcastle Utd","Premier League","Karl Darlow","WAL","GK","30",1990,8,8,720,8,15,1.87,37,23,64.9,0,5,3,0,0,2,2,0,0,0,"https://fbref.com/en/players/cde3309f/Karl-Darlow"
"350",2022,"Newcastle Utd","Premier League","Martin Dúbravka","SVK","GK","32",1989,26,26,2340,26,35,1.35,106,72,67.9,13,4,9,8,30.8,1,1,0,0,0,"https://fbref.com/en/players/3a949a25/Martin-Dubravka"
"351",2022,"Newcastle Utd","Premier League","Freddie Woodman","ENG","GK","24",1997,4,4,360,4,12,3,22,9,54.5,0,1,3,0,0,3,2,1,0,33.3,"https://fbref.com/en/players/19e50035/Freddie-Woodman"
"352",2022,"Nice","Ligue 1","Walter Benítez","ARG","GK","28",1993,37,37,3330,37,35,0.95,141,105,78,20,7,10,14,37.8,5,4,1,0,20,"https://fbref.com/en/players/8a2248b4/Walter-Benitez"
"353",2022,"Nice","Ligue 1","Marcin Bułka","POL","GK","21",1999,1,1,90,1,1,1,5,4,80,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/db87a2c4/Marcin-Bulka"
"354",2022,"Norwich City","Premier League","Angus Gunn","SCO","GK","25",1996,9,9,810,9,22,2.44,57,34,64.9,1,2,6,1,11.1,4,2,1,1,33.3,"https://fbref.com/en/players/e082af5b/Angus-Gunn"
"355",2022,"Norwich City","Premier League","Tim Krul","NED","GK","33",1988,29,29,2610,29,62,2.14,165,105,66.7,4,5,20,5,17.2,8,7,0,1,0,"https://fbref.com/en/players/f23f9d20/Tim-Krul"
"356",2022,"Osasuna","La Liga","Sergio Herrera","ESP","GK","28",1993,36,36,3240,36,48,1.33,147,97,70.1,12,10,14,12,33.3,7,4,3,0,42.9,"https://fbref.com/en/players/a4995f48/Sergio-Herrera"
"357",2022,"Osasuna","La Liga","Juan Pérez","ESP","GK","25",1996,2,2,180,2,3,1.5,4,2,25,0,1,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/8f29e08b/Juan-Perez"
"358",2022,"Paris S-G","Ligue 1","Gianluigi Donnarumma","ITA","GK","22",1999,17,17,1530,17,17,1,61,45,73.8,13,2,2,5,29.4,1,1,0,0,0,"https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma"
"359",2022,"Paris S-G","Ligue 1","Alexandre Letellier","FRA","GK","30",1990,1,0,8,0.1,0,0,0,0,NA,0,0,0,1,NA,0,0,0,0,NA,"https://fbref.com/en/players/96fcd380/Alexandre-Letellier"
"360",2022,"Paris S-G","Ligue 1","Keylor Navas","CRC","GK","34",1986,21,21,1856,20.6,18,0.87,78,60,79.5,13,6,2,7,33.3,2,2,0,0,0,"https://fbref.com/en/players/ecada4fc/Keylor-Navas"
"361",2022,"Paris S-G","Ligue 1","Sergio Rico","ESP","GK","27",1993,1,0,23,0.3,1,3.91,3,2,66.7,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/5f0241b2/Sergio-Rico"
"362",2022,"RB Leipzig","Bundesliga","Péter Gulácsi","HUN","GK","31",1990,33,33,2967,33,34,1.03,111,78,72.1,17,7,9,9,27.3,3,3,0,0,0,"https://fbref.com/en/players/bcb2ccd8/Peter-Gulacsi"
"363",2022,"RB Leipzig","Bundesliga","Josep Martinez","ESP","GK","23",1998,1,1,90,1,3,3,4,1,25,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/11d8aff0/Josep-Martinez"
"364",2022,"RB Leipzig","Bundesliga","Philipp Tschauner","GER","GK","35",1985,1,0,3,0,0,0,0,0,NA,0,0,0,1,NA,0,0,0,0,NA,"https://fbref.com/en/players/73e2f6eb/Philipp-Tschauner"
"365",2022,"Rayo Vallecano","La Liga","Stole Dimitrievski","MKD","GK","27",1993,31,30,2772,30.8,37,1.2,126,88,76.2,11,8,11,9,30,9,7,2,0,22.2,"https://fbref.com/en/players/fc70e345/Stole-Dimitrievski"
"366",2022,"Rayo Vallecano","La Liga","Luca Zidane","FRA","GK","23",1998,8,8,645,7.2,13,1.81,37,24,64.9,0,1,7,0,0,0,0,0,0,NA,"https://fbref.com/en/players/c818c4d9/Luca-Zidane"
"367",2022,"Real Madrid","La Liga","Thibaut Courtois","BEL","GK","29",1992,36,36,3240,36,29,0.81,120,91,77.5,26,7,3,16,44.4,3,2,1,0,33.3,"https://fbref.com/en/players/1840e36d/Thibaut-Courtois"
"368",2022,"Real Madrid","La Liga","Andriy Lunin","UKR","GK","22",1999,2,2,180,2,2,1,9,6,88.9,0,1,1,0,0,2,1,1,0,50,"https://fbref.com/en/players/3061e1ec/Andriy-Lunin"
"369",2022,"Real Sociedad","La Liga","Álex Remiro","ESP","GK","26",1995,35,35,3150,35,32,0.91,112,79,75,15,11,9,19,54.3,5,4,1,0,20,"https://fbref.com/en/players/374ee424/Alex-Remiro"
"370",2022,"Real Sociedad","La Liga","Mathew Ryan","AUS","GK","29",1992,3,3,270,3,5,1.67,15,10,73.3,2,0,1,1,33.3,1,1,0,0,0,"https://fbref.com/en/players/4535e4bb/Mathew-Ryan"
"371",2022,"Reims","Ligue 1","Predrag Rajković","SRB","GK","25",1995,38,38,3420,38,44,1.16,161,116,75.8,11,13,14,11,28.9,7,5,1,1,16.7,"https://fbref.com/en/players/58ad9383/Predrag-Rajkovic"
