"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Url"
"25",2021,"Alavés","La Liga","Pere Pons","ESP","MF","27",1993,13.2,485,13,88,267,142,22,485,28,9,32.1,19,67.9,244,1148,534,17,13,7,25,14,292,33,"https://fbref.com/en/players/29b61deb/Pere-Pons"
"26",2021,"Alavés","La Liga","Luis Rioja","ESP","MF,FW","26",1993,23.2,903,29,171,362,387,57,903,73,41,56.2,32,43.8,489,3523,1990,71,44,30,49,24,533,131,"https://fbref.com/en/players/eb3dd471/Luis-Rioja"
"27",2021,"Alavés","La Liga","Borja Sainz","ESP","MF,FW","19",2001,5,187,0,31,77,87,14,187,26,10,38.5,17,65.4,125,1002,343,14,10,5,23,10,126,36,"https://fbref.com/en/players/1b40049a/Borja-Sainz"
"28",2021,"Alavés","La Liga","Antonio Sivera","ESP","GK","23",1996,0.8,22,20,22,0,0,0,22,0,0,NA,0,NA,12,77,45,0,0,0,0,0,7,0,"https://fbref.com/en/players/9970da54/Antonio-Sivera"
"29",2021,"Alavés","La Liga","Tachi","ESP","DF","22",1997,9.4,445,56,245,186,15,6,445,0,0,NA,0,NA,223,968,542,0,1,0,3,0,249,0,"https://fbref.com/en/players/8b625720/Tachi"
"30",2021,"Alavés","La Liga","Tomás Tavares","POR","MF,DF","19",2001,0.7,24,1,6,7,11,1,24,0,0,NA,0,NA,11,54,36,1,1,0,0,0,14,3,"https://fbref.com/en/players/0dce3356/Tomas-Tavares"
"31",2021,"Angers","Ligue 1","Rayan Aït-Nouri","ALG","DF","19",2001,2.1,167,3,31,103,37,4,167,9,8,88.9,1,11.1,98,507,283,7,5,2,5,3,125,18,"https://fbref.com/en/players/9b398aea/Rayan-Ait-Nouri"
"32",2021,"Angers","Ligue 1","Mohamed Ali Cho","FRA","FW,MF","16",2004,3.9,173,0,13,66,98,16,173,11,5,45.5,6,54.5,114,750,382,15,10,2,16,12,121,26,"https://fbref.com/en/players/f8405304/Mohamed-Ali-Cho"
"33",2021,"Angers","Ligue 1","Rachid Alioui","MAR","FW","28",1992,0.2,11,0,3,3,5,2,11,0,0,NA,0,NA,6,5,0,0,0,0,1,1,9,1,"https://fbref.com/en/players/bdedd861/Rachid-Alioui"
"34",2021,"Angers","Ligue 1","Ibrahim Amadou","FRA","MF","27",1993,16.7,837,34,208,549,87,12,837,15,10,66.7,5,33.3,477,1929,898,14,9,3,14,17,534,14,"https://fbref.com/en/players/9260926b/Ibrahim-Amadou"
"35",2021,"Angers","Ligue 1","Stéphane Bahoken","CMR","FW","28",1992,18,558,9,22,266,276,72,557,24,14,58.3,10,41.7,348,1948,747,34,18,15,70,34,423,110,"https://fbref.com/en/players/5046b7d4/Stephane-Bahoken"
"36",2021,"Angers","Ligue 1","Abdoulaye Bamba","CIV","DF","30",1990,15,993,36,315,495,189,5,993,9,4,44.4,5,55.6,479,1855,818,19,13,2,13,3,553,60,"https://fbref.com/en/players/7fecbcdb/Abdoulaye-Bamba"
"37",2021,"Angers","Ligue 1","Paul Bernardoni","FRA","GK","23",1997,38,1075,904,1066,9,0,0,1075,0,0,NA,0,NA,513,2373,1493,0,0,0,1,1,330,0,"https://fbref.com/en/players/28dabd43/Paul-Bernardoni"
"38",2021,"Angers","Ligue 1","Antonin Bobichon","FRA","MF,FW","24",1995,10.1,652,6,66,363,230,20,652,26,18,69.2,8,30.8,419,2017,915,20,24,3,17,16,478,58,"https://fbref.com/en/players/7d937aa1/Antonin-Bobichon"
"39",2021,"Angers","Ligue 1","Sofiane Boufal","MAR","FW,MF","26",1993,8.1,420,2,57,204,167,28,420,68,34,50,34,50,280,1952,929,26,20,7,27,21,302,35,"https://fbref.com/en/players/b0c71810/Sofiane-Boufal"
